car_ID,symboling,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,enginetype,cylindernumber,fuelsystem
206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,,,,,,,,,,
102.5,0.8300970873786407,97.44466019417474,173.2043689320388,65.58786407766989,53.46407766990292,2543.160194174757,126.29126213592232,3.3135922330097083,3.2396116504854375,10.093300970873786,103.6116504854369,5100.242718446602,25.097087378640776,30.601941747572816,0.0,,,,,,,,,,
59.61124055075519,1.2436245179906884,11.27894847334877,17.277740659089005,5.066166906340376,4.466894034548971,549.0800275475965,42.4715987898395,0.3561182439116208,0.38640474755982857,4.024862339921218,40.1090545120173,594.9071986005217,6.758574771256827,7.195987778871174,0.0,,,,,,,,,,
0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
51.25,0.0,94.5,166.3,64.025,52.0,2145.0,97.0,3.15,3.11,8.525,70.0,4800.0,19.0,25.0,0.0,,,,,,,,,,
102.5,1.0,96.9,173.2,65.5,54.1,2414.0,119.5,3.31,3.29,9.0,95.0,5200.0,24.0,30.0,0.0,,,,,,,,,,
153.75,2.0,102.30000000000001,182.75,66.825,55.5,2932.75,141.0,3.58,3.41,9.4,116.0,5500.0,30.0,34.0,0.0,,,,,,,,,,
205.0,3.0,120.9,208.1,72.3,59.8,4066.0,326.0,3.94,4.17,23.0,288.0,6600.0,49.0,54.0,0.0,,,,,,,,,,
31.0,2.0,86.6,144.6,63.9,50.8,1713.0,92.0,2.91,3.41,9.6,58.0,4800.0,49.0,54.0,0.0,honda civic,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
19.0,2.0,88.4,141.1,60.3,53.2,1488.0,61.0,2.91,3.03,9.5,48.0,5100.0,47.0,53.0,0.0,chevrolet impala,gas,std,two,hatchback,fwd,front,l,three,2bbl
91.0,1.0,94.5,165.3,63.8,54.5,2017.0,103.0,2.99,3.47,21.9,55.0,4800.0,45.0,50.0,0.0,nissan gt-r,diesel,std,two,sedan,fwd,front,ohc,four,idi
161.0,0.0,95.7,166.3,64.4,53.0,2094.0,98.0,3.19,3.03,9.0,70.0,4800.0,38.0,47.0,0.0,toyota corona,gas,std,four,sedan,fwd,front,ohc,four,2bbl
160.0,0.0,95.7,166.3,64.4,52.8,2275.0,110.0,3.27,3.35,22.5,56.0,4500.0,38.0,47.0,0.0,toyota corolla,diesel,std,four,hatchback,fwd,front,ohc,four,idi
185.0,2.0,97.3,171.7,65.5,55.7,2264.0,97.0,3.01,3.4,23.0,52.0,4800.0,37.0,46.0,0.0,volkswagen model 111,diesel,std,four,sedan,fwd,front,ohc,four,idi
183.0,2.0,97.3,171.7,65.5,55.7,2261.0,97.0,3.01,3.4,23.0,52.0,4800.0,37.0,46.0,0.0,vokswagen rabbit,diesel,std,two,sedan,fwd,front,ohc,four,idi
46.0,0.0,94.5,155.9,63.6,52.0,1909.0,90.0,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,0.0,isuzu D-Max V-Cross,gas,std,four,sedan,fwd,front,ohc,four,2bbl
45.0,1.0,94.5,155.9,63.6,52.0,1874.0,90.0,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,0.0,isuzu D-Max ,gas,std,two,sedan,fwd,front,ohc,four,2bbl
21.0,0.0,94.5,158.8,63.6,52.0,1909.0,90.0,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,0.0,chevrolet vega 2300,gas,std,four,sedan,fwd,front,ohc,four,2bbl
20.0,1.0,94.5,155.9,63.6,52.0,1874.0,90.0,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,0.0,chevrolet monte carlo,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
188.0,2.0,97.3,171.7,65.5,55.7,2319.0,97.0,3.01,3.4,23.0,68.0,4500.0,37.0,42.0,0.0,volkswagen super beetle,diesel,turbo,four,sedan,fwd,front,ohc,four,idi
64.0,0.0,98.8,177.8,66.5,55.5,2443.0,122.0,3.39,3.39,22.7,64.0,4650.0,36.0,42.0,0.0,mazda glc deluxe,diesel,std,four,sedan,fwd,front,ohc,four,idi
33.0,1.0,93.7,150.0,64.0,52.6,1837.0,79.0,2.91,3.07,10.1,60.0,5500.0,38.0,42.0,0.0,honda civic,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
119.0,1.0,93.7,157.3,63.8,50.8,1918.0,90.0,2.97,3.23,9.4,68.0,5500.0,37.0,41.0,0.0,plymouth fury iii,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
22.0,1.0,93.7,157.3,63.8,50.8,1876.0,90.0,2.97,3.23,9.41,68.0,5500.0,37.0,41.0,0.0,dodge rampage,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
77.0,2.0,93.7,157.3,64.4,50.8,1918.0,92.0,2.97,3.23,9.4,68.0,5500.0,37.0,41.0,0.0,mitsubishi mirage,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
67.0,0.0,104.9,175.0,66.1,54.4,2700.0,134.0,3.43,3.64,22.0,72.0,4200.0,31.0,39.0,0.0,mazda rx-7 gs,diesel,std,four,sedan,rwd,front,ohc,four,idi
151.0,1.0,95.7,158.7,63.6,54.5,1985.0,92.0,3.05,3.03,9.0,62.0,4800.0,35.0,39.0,0.0,toyota corona mark ii,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
193.0,0.0,100.4,180.2,66.9,55.1,2579.0,97.0,3.01,3.4,23.0,68.0,4500.0,33.0,38.0,0.0,volkswagen rabbit custom,diesel,turbo,four,sedan,fwd,front,ohc,four,idi
121.0,1.0,93.7,157.3,63.8,50.6,1967.0,90.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,0.0,plymouth fury iii,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
78.0,2.0,93.7,157.3,64.4,50.8,1944.0,92.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,0.0,mitsubishi lancer,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
52.0,1.0,93.1,159.1,64.2,54.1,1900.0,91.0,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,0.0,maxda glc deluxe,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
79.0,2.0,93.7,157.3,64.4,50.8,2004.0,92.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,0.0,mitsubishi outlander,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
32.0,2.0,86.6,144.6,63.9,50.8,1819.0,92.0,2.91,3.41,9.2,76.0,6000.0,31.0,38.0,0.0,honda civic cvcc,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
152.0,1.0,95.7,158.7,63.6,54.5,2040.0,92.0,3.05,3.03,9.0,62.0,4800.0,31.0,38.0,0.0,toyota corona,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
53.0,1.0,93.1,159.1,64.2,54.1,1905.0,91.0,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,0.0,mazda rx2 coupe,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
153.0,1.0,95.7,158.7,63.6,54.5,2015.0,92.0,3.05,3.03,9.0,62.0,4800.0,31.0,38.0,0.0,toyota corolla 1200,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
27.0,1.0,93.7,157.3,63.8,50.6,1989.0,90.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,0.0,dodge colt (sw),gas,std,four,sedan,fwd,front,ohc,four,2bbl
26.0,1.0,93.7,157.3,63.8,50.6,1989.0,90.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,0.0,dodge colt hardtop,gas,std,four,sedan,fwd,front,ohc,four,2bbl
25.0,1.0,93.7,157.3,63.8,50.6,1967.0,90.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,0.0,dodge monaco (sw),gas,std,four,hatchback,fwd,front,ohc,four,2bbl
122.0,1.0,93.7,167.3,63.8,50.8,1989.0,90.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,0.0,plymouth satellite custom (sw),gas,std,four,sedan,fwd,front,ohc,four,2bbl
23.0,1.0,93.7,157.3,63.8,50.8,1876.0,90.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,0.0,dodge challenger se,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
54.0,1.0,93.1,166.8,64.2,54.1,1945.0,91.0,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,0.0,mazda rx-4,gas,std,four,sedan,fwd,front,ohc,four,2bbl
55.0,1.0,93.1,166.8,64.2,54.1,1950.0,91.0,3.08,3.15,9.0,68.0,5000.0,31.0,38.0,0.0,mazda glc deluxe,gas,std,four,sedan,fwd,front,ohc,four,2bbl
123.0,1.0,93.7,167.3,63.8,50.8,2191.0,98.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,0.0,plymouth fury gran sedan,gas,std,four,sedan,fwd,front,ohc,four,2bbl
90.0,1.0,94.5,165.3,63.8,54.5,1889.0,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,0.0,Nissan versa,gas,std,two,sedan,fwd,front,ohc,four,2bbl
99.0,2.0,95.1,162.4,63.8,53.3,2008.0,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,0.0,nissan clipper,gas,std,two,hardtop,fwd,front,ohc,four,2bbl
157.0,0.0,95.7,166.3,64.4,53.0,2081.0,98.0,3.19,3.03,9.0,70.0,4800.0,30.0,37.0,0.0,toyota mark ii,gas,std,four,sedan,fwd,front,ohc,four,2bbl
142.0,0.0,97.2,172.0,65.4,52.5,2145.0,108.0,3.62,2.64,9.5,82.0,4800.0,32.0,37.0,0.0,subaru,gas,std,four,sedan,fwd,front,ohcf,four,2bbl
98.0,1.0,94.5,170.2,63.8,53.5,2037.0,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,0.0,nissan note,gas,std,four,wagon,fwd,front,ohc,four,2bbl
96.0,1.0,94.5,165.6,63.8,53.3,2028.0,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,0.0,nissan juke,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
97.0,1.0,94.5,165.3,63.8,54.5,1971.0,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,0.0,nissan latio,gas,std,four,sedan,fwd,front,ohc,four,2bbl
158.0,0.0,95.7,166.3,64.4,52.8,2109.0,98.0,3.19,3.03,9.0,70.0,4800.0,30.0,37.0,0.0,toyota corolla 1200,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
93.0,1.0,94.5,165.3,63.8,54.5,1938.0,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,0.0,nissan latio,gas,std,four,sedan,fwd,front,ohc,four,2bbl
95.0,1.0,94.5,165.3,63.8,54.5,1951.0,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,0.0,nissan leaf,gas,std,two,sedan,fwd,front,ohc,four,2bbl
154.0,0.0,95.7,169.7,63.6,59.1,2280.0,92.0,3.05,3.03,9.0,62.0,4800.0,31.0,37.0,0.0,toyota corona hardtop,gas,std,four,wagon,fwd,front,ohc,four,2bbl
94.0,1.0,94.5,170.2,63.8,53.5,2024.0,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,0.0,nissan titan,gas,std,four,wagon,fwd,front,ohc,four,2bbl
92.0,1.0,94.5,165.3,63.8,54.5,1918.0,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,0.0,nissan rogue,gas,std,two,sedan,fwd,front,ohc,four,2bbl
139.0,2.0,93.7,156.9,63.4,53.7,2050.0,97.0,3.62,2.36,9.0,69.0,4900.0,31.0,36.0,0.0,subaru,gas,std,two,hatchback,fwd,front,ohcf,four,2bbl
159.0,0.0,95.7,166.3,64.4,53.0,2275.0,110.0,3.27,3.35,22.5,56.0,4500.0,34.0,36.0,0.0,toyota corona,diesel,std,four,sedan,fwd,front,ohc,four,idi
162.0,0.0,95.7,166.3,64.4,52.8,2122.0,98.0,3.19,3.03,9.0,70.0,4800.0,28.0,34.0,0.0,toyota corolla,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
163.0,0.0,95.7,166.3,64.4,52.8,2140.0,98.0,3.19,3.03,9.0,70.0,4800.0,28.0,34.0,0.0,toyota mark ii,gas,std,four,sedan,fwd,front,ohc,four,2bbl
184.0,2.0,97.3,171.7,65.5,55.7,2209.0,109.0,3.19,3.4,9.0,85.0,5250.0,27.0,34.0,0.0,volkswagen 1131 deluxe sedan,gas,std,two,sedan,fwd,front,ohc,four,mpfi
174.0,-1.0,102.4,175.6,66.5,54.9,2326.0,122.0,3.31,3.54,8.7,92.0,4200.0,29.0,34.0,0.0,toyota corolla,gas,std,four,sedan,fwd,front,ohc,four,mpfi
186.0,2.0,97.3,171.7,65.5,55.7,2212.0,109.0,3.19,3.4,9.0,85.0,5250.0,27.0,34.0,0.0,volkswagen type 3,gas,std,four,sedan,fwd,front,ohc,four,mpfi
100.0,0.0,97.2,173.4,65.2,54.7,2324.0,120.0,3.33,3.47,8.5,97.0,5200.0,27.0,34.0,0.0,nissan rogue,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
187.0,2.0,97.3,171.7,65.5,55.7,2275.0,109.0,3.19,3.4,9.0,85.0,5250.0,27.0,34.0,0.0,volkswagen 411 (sw),gas,std,four,sedan,fwd,front,ohc,four,mpfi
37.0,0.0,96.5,157.1,63.9,58.3,2024.0,92.0,2.92,3.41,9.2,76.0,6000.0,30.0,34.0,0.0,honda civic 1500 gl,gas,std,four,wagon,fwd,front,ohc,four,1bbl
164.0,1.0,94.5,168.7,64.0,52.6,2169.0,98.0,3.19,3.03,9.0,70.0,4800.0,29.0,34.0,0.0,toyota corolla liftback,gas,std,two,sedan,rwd,front,ohc,four,2bbl
165.0,1.0,94.5,168.7,64.0,52.6,2204.0,98.0,3.19,3.03,9.0,70.0,4800.0,29.0,34.0,0.0,toyota corona,gas,std,two,hatchback,rwd,front,ohc,four,2bbl
34.0,1.0,93.7,150.0,64.0,52.6,1940.0,92.0,2.91,3.41,9.2,76.0,6000.0,30.0,34.0,0.0,honda accord cvcc,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
35.0,1.0,93.7,150.0,64.0,52.6,1956.0,92.0,2.91,3.41,9.2,76.0,6000.0,30.0,34.0,0.0,honda civic cvcc,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
36.0,0.0,96.5,163.4,64.0,54.5,2010.0,92.0,2.91,3.41,9.2,76.0,6000.0,30.0,34.0,0.0,honda accord lx,gas,std,four,sedan,fwd,front,ohc,four,1bbl
101.0,0.0,97.2,173.4,65.2,54.7,2302.0,120.0,3.33,3.47,8.5,97.0,5200.0,27.0,34.0,0.0,nissan nv200,gas,std,four,sedan,fwd,front,ohc,four,2bbl
143.0,0.0,97.2,172.0,65.4,52.5,2190.0,108.0,3.62,2.64,9.5,82.0,4400.0,28.0,33.0,0.0,subaru brz,gas,std,four,sedan,fwd,front,ohcf,four,2bbl
113.0,0.0,107.9,186.7,68.4,56.7,3252.0,152.0,3.7,3.52,21.0,95.0,4150.0,28.0,33.0,0.0,peugeot 604sl,diesel,turbo,four,sedan,rwd,front,l,four,idi
175.0,-1.0,102.4,175.6,66.5,54.9,2480.0,110.0,3.27,3.35,22.5,73.0,4500.0,30.0,33.0,0.0,toyota celica gt,diesel,turbo,four,sedan,fwd,front,ohc,four,idi
38.0,0.0,96.5,167.5,65.2,53.3,2236.0,110.0,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,0.0,honda accord,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
40.0,0.0,96.5,175.4,65.2,54.1,2304.0,110.0,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,0.0,honda prelude,gas,std,four,sedan,fwd,front,ohc,four,1bbl
41.0,0.0,96.5,175.4,62.5,54.1,2372.0,110.0,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,0.0,honda accord,gas,std,four,sedan,fwd,front,ohc,four,1bbl
109.0,0.0,107.9,186.7,68.4,56.7,3197.0,152.0,3.7,3.52,21.0,95.0,4150.0,28.0,33.0,0.0,peugeot 304,diesel,turbo,four,sedan,rwd,front,l,four,idi
117.0,0.0,107.9,186.7,68.4,56.7,3252.0,152.0,3.7,3.52,21.0,95.0,4150.0,28.0,33.0,0.0,peugeot 504,diesel,turbo,four,sedan,rwd,front,l,four,idi
39.0,0.0,96.5,167.5,65.2,53.3,2289.0,110.0,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,0.0,honda civic 1300,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
82.0,3.0,96.3,173.0,65.4,49.4,2328.0,122.0,3.35,3.46,8.5,88.0,5000.0,25.0,32.0,0.0,mitsubishi g4,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
86.0,1.0,96.3,172.4,65.4,51.6,2365.0,122.0,3.35,3.46,8.5,88.0,5000.0,25.0,32.0,0.0,mitsubishi montero,gas,std,four,sedan,fwd,front,ohc,four,2bbl
87.0,1.0,96.3,172.4,65.4,51.6,2405.0,122.0,3.35,3.46,8.5,88.0,5000.0,25.0,32.0,0.0,mitsubishi pajero,gas,std,four,sedan,fwd,front,ohc,four,2bbl
147.0,0.0,97.0,173.5,65.4,53.0,2290.0,108.0,3.62,2.64,9.0,82.0,4800.0,28.0,32.0,0.0,subaru trezia,gas,std,four,wagon,fwd,front,ohcf,four,2bbl
177.0,-1.0,102.4,175.6,66.5,54.9,2414.0,122.0,3.31,3.54,8.7,92.0,4200.0,27.0,32.0,0.0,toyota corolla,gas,std,four,sedan,fwd,front,ohc,four,mpfi
178.0,-1.0,102.4,175.6,66.5,53.9,2458.0,122.0,3.31,3.54,8.7,92.0,4200.0,27.0,32.0,0.0,toyota mark ii,gas,std,four,hatchback,fwd,front,ohc,four,mpfi
65.0,0.0,98.8,177.8,66.5,55.5,2425.0,122.0,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,0.0,mazda 626,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
63.0,0.0,98.8,177.8,66.5,55.5,2410.0,122.0,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,0.0,mazda rx-4,gas,std,four,sedan,fwd,front,ohc,four,2bbl
62.0,1.0,98.8,177.8,66.5,53.7,2385.0,122.0,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,0.0,mazda glc custom,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
61.0,0.0,98.8,177.8,66.5,55.5,2410.0,122.0,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,0.0,mazda glc custom l,gas,std,four,sedan,fwd,front,ohc,four,2bbl
60.0,1.0,98.8,177.8,66.5,53.7,2385.0,122.0,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,0.0,mazda 626,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
189.0,2.0,97.3,171.7,65.5,55.7,2300.0,109.0,3.19,3.4,10.0,100.0,5500.0,26.0,32.0,0.0,volkswagen dasher,gas,std,four,sedan,fwd,front,ohc,four,mpfi
156.0,0.0,95.7,169.7,63.6,59.1,3110.0,92.0,3.05,3.03,9.0,62.0,4800.0,27.0,32.0,0.0,toyota carina,gas,std,four,wagon,4wd,front,ohc,four,2bbl
176.0,-1.0,102.4,175.6,66.5,53.9,2414.0,122.0,3.31,3.54,8.7,92.0,4200.0,27.0,32.0,0.0,toyota corona,gas,std,four,hatchback,fwd,front,ohc,four,mpfi
155.0,0.0,95.7,169.7,63.6,59.1,2290.0,92.0,3.05,3.03,9.0,62.0,4800.0,27.0,32.0,0.0,toyota corolla 1600 (sw),gas,std,four,wagon,4wd,front,ohc,four,2bbl
144.0,0.0,97.2,172.0,65.4,52.5,2340.0,108.0,3.62,2.64,9.0,94.0,5200.0,26.0,32.0,0.0,subaru baja,gas,std,four,sedan,fwd,front,ohcf,four,mpfi
148.0,0.0,97.0,173.5,65.4,53.0,2455.0,108.0,3.62,2.64,9.0,94.0,5200.0,25.0,31.0,0.0,subaru tribeca,gas,std,four,wagon,fwd,front,ohcf,four,mpfi
132.0,2.0,96.1,176.8,66.6,50.5,2460.0,132.0,3.46,3.9,8.7,90.0,5100.0,23.0,31.0,0.0,renault 5 gtl,gas,std,two,hatchback,fwd,front,ohc,four,mpfi
141.0,2.0,93.3,157.3,63.8,55.7,2240.0,108.0,3.62,2.64,8.7,73.0,4400.0,26.0,31.0,0.0,subaru dl,gas,std,two,hatchback,4wd,front,ohcf,four,2bbl
140.0,2.0,93.7,157.9,63.6,53.7,2120.0,108.0,3.62,2.64,8.7,73.0,4400.0,26.0,31.0,0.0,subaru dl,gas,std,two,hatchback,fwd,front,ohcf,four,2bbl
43.0,1.0,96.5,169.1,66.0,51.0,2293.0,110.0,3.15,3.58,9.1,100.0,5500.0,25.0,31.0,0.0,honda civic (auto),gas,std,two,sedan,fwd,front,ohc,four,2bbl
131.0,0.0,96.1,181.5,66.5,55.2,2579.0,132.0,3.46,3.9,8.7,90.0,5100.0,23.0,31.0,0.0,renault 12tl,gas,std,four,wagon,fwd,front,ohc,four,mpfi
194.0,0.0,100.4,183.1,66.9,55.1,2563.0,109.0,3.19,3.4,9.0,88.0,5500.0,25.0,31.0,0.0,volkswagen dasher,gas,std,four,wagon,fwd,front,ohc,four,mpfi
